partner,course,rating,reviewcount,level,certificatetype,duration,crediteligibility
Google,Google Cybersecurity,4.8,16.4k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google,Google Data Analytics,4.8,133.4k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
Google,Google Project Management:,4.8,97.3k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
Google,Google Digital Marketing & E-commerce,4.8,21.4k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google,Google IT Support,4.8,181.4k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
IBM,IBM Data Science,4.6,118.9k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
Google,Google UX Design,4.8,73.7k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
IBM,IBM Data Analyst,4.6,71.5k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
Multiple educators,Machine Learning,4.9,17.7k,Beginner , Specialization , 1 - 3 Months,FALSE
IBM,Introduction to Data Science,4.6,85k,Beginner , Specialization , 3 - 6 Months,TRUE
DeepLearning.AI,Generative AI for Everyone,4.9,188,Beginner , Course , 1 - 4 Weeks,FALSE
IBM,IBM DevOps and Software Engineering,4.6,43.2k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
IBM,IBM Full Stack Software Developer,4.6,41.2k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
IBM,Key Technologies for Business,4.7,81.5k,Beginner , Specialization , 1 - 3 Months,FALSE
IBM,Data Science Fundamentals with Python and SQL,4.6,59.2k,Beginner , Specialization , 3 - 6 Months,TRUE
University of Virginia Darden School Foundation,IBM & Darden Digital Strategy,4.7,29.7k,Beginner , Specialization , 3 - 6 Months,FALSE
IBM,IBM Data Engineering,4.6,46.2k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
IBM,IBM Data Analytics with Excel and R,4.7,19.9k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
